strategy	n_threads	n_cols	n_rows	iterations	min	max	diff	avg	time	flops
omp	8	100	200	10000	2.067515e+01	9.723871e+01	1.468212e-03	7.848964e+01	2.085036e-01	1.152430e+10	
pth	8	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	6.008543e-01	3.999068e+09	
omp	8	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	1.942166e-01	1.237205e+10	
pth	8	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	8.986048e-01	1.336993e+10	
omp	8	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	6.254305e-01	1.920963e+10	
pth	8	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	7.965748e-01	1.508243e+10	
omp	8	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	5.872170e-01	2.045970e+10	
pth	8	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	1.197875e+00	2.005933e+10	
omp	8	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	1.152416e+00	2.085060e+10	
pth	8	2000	100	10000	1.965332e+01	9.838499e+01	1.786453e-03	7.190366e+01	1.029924e+00	2.333043e+10	
omp	8	2000	100	10000	1.965332e+01	9.838499e+01	1.786453e-03	7.190366e+01	1.097810e+00	2.188773e+10	
pth	8	1000	1000	10000	1.873976e+01	9.937890e+01	1.917284e-03	8.707111e+01	2.833563e+00	4.239992e+10	
omp	8	1000	1000	10000	1.873976e+01	9.937890e+01	1.917284e-03	8.707111e+01	3.936250e+00	3.052216e+10	
pth	8	2000	2000	10000	1.870801e+01	9.952850e+01	1.988695e-03	8.808791e+01	8.154549e+01	5.893293e+09	
omp	8	2000	2000	10000	1.870801e+01	9.952850e+01	1.988695e-03	8.808791e+01	4.091989e+01	1.174420e+10	
pth	16	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	1.082328e+00	5.550205e+08	
omp	16	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	2.149047e-01	2.795258e+09	
pth	16	100	50	10000	2.250827e+01	8.879608e+01	1.966097e-03	5.759763e+01	1.119858e+00	5.364200e+08	
omp	16	100	50	10000	2.250827e+01	8.879608e+01	1.966097e-03	5.759763e+01	1.932834e-01	3.107946e+09	
pth	16	100	200	10000	2.067515e+01	9.723871e+01	1.468212e-03	7.848964e+01	1.177830e+00	2.040071e+09	
omp	16	100	200	10000	2.067515e+01	9.723871e+01	1.468212e-03	7.848964e+01	2.600396e-01	9.240351e+09	
pth	16	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	1.157621e+00	2.075685e+09	
omp	16	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	2.458519e-01	9.773596e+09	
pth	16	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	1.393492e+00	8.621712e+09	
omp	16	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	6.523140e-01	1.841795e+10	
pth	16	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	1.287699e+00	9.330043e+09	
omp	16	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	6.495844e-01	1.849534e+10	
pth	16	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	1.717407e+00	1.399120e+10	
omp	16	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	1.126019e+00	2.133939e+10	
pth	16	2000	100	10000	1.965332e+01	9.838499e+01	1.786453e-03	7.190366e+01	1.587611e+00	1.513505e+10	
omp	16	2000	100	10000	1.965332e+01	9.838499e+01	1.786453e-03	7.190366e+01	1.128661e+00	2.128945e+10	
pth	16	1000	1000	10000	1.873976e+01	9.937890e+01	1.917284e-03	8.707111e+01	2.616967e+00	4.590919e+10	
omp	16	1000	1000	10000	1.873976e+01	9.937890e+01	1.917284e-03	8.707111e+01	3.559784e+00	3.375004e+10	
pth	16	2000	2000	10000	1.870801e+01	9.952850e+01	1.988695e-03	8.808791e+01	8.299736e+01	5.790201e+09	
omp	16	2000	2000	10000	1.870801e+01	9.952850e+01	1.988695e-03	8.808791e+01	3.681813e+01	1.305258e+10	
pth	32	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	3.882359e+00	1.547292e+08	
omp	32	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	3.384993e-01	1.774640e+09	
pth	32	100	50	10000	2.250827e+01	8.879608e+01	1.966097e-03	5.759763e+01	3.792047e+00	1.584142e+08	
omp	32	100	50	10000	2.250827e+01	8.879608e+01	1.966097e-03	5.759763e+01	2.926624e-01	2.052584e+09	
pth	32	100	200	10000	2.067515e+01	9.723871e+01	1.468212e-03	7.848964e+01	3.611641e+00	6.653090e+08	
omp	32	100	200	10000	2.067515e+01	9.723871e+01	1.468212e-03	7.848964e+01	3.677603e-01	6.533759e+09	
pth	32	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	3.747327e+00	6.412190e+08	
omp	32	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	3.295591e-01	7.291127e+09	
pth	32	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	3.994508e+00	3.007701e+09	
omp	32	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	7.509756e-01	1.599824e+10	
pth	32	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	3.929421e+00	3.057521e+09	
omp	32	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	7.696567e-01	1.560993e+10	
pth	32	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	4.372646e+00	5.495202e+09	
omp	32	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	1.274802e+00	1.884887e+10	
pth	32	2000	100	10000	1.965332e+01	9.838499e+01	1.786453e-03	7.190366e+01	4.329581e+00	5.549861e+09	
omp	32	2000	100	10000	1.965332e+01	9.838499e+01	1.786453e-03	7.190366e+01	1.255157e+00	1.914388e+10	
pth	32	1000	1000	10000	1.873976e+01	9.937890e+01	1.917284e-03	8.707111e+01	5.662046e+00	2.121898e+10	
omp	32	1000	1000	10000	1.873976e+01	9.937890e+01	1.917284e-03	8.707111e+01	3.256471e+00	3.689358e+10	
pth	32	2000	2000	10000	1.870801e+01	9.952850e+01	1.988695e-03	8.808791e+01	7.817392e+01	6.147465e+09	
omp	32	2000	2000	10000	1.870801e+01	9.952850e+01	1.988695e-03	8.808791e+01	3.663452e+01	1.311800e+10
seq	2	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	1.182087e-01	5.081811e+09	
pth	2	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	3.275813e-01	1.833787e+09	
omp	2	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	1.524461e-01	3.940502e+09	
seq	2	100	50	10000	2.250827e+01	8.879608e+01	1.966097e-03	5.759763e+01	1.305920e-01	4.599931e+09	
pth	2	100	50	10000	2.250827e+01	8.879608e+01	1.966097e-03	5.759763e+01	3.171814e-01	1.893914e+09	
omp	2	100	50	10000	2.250827e+01	8.879608e+01	1.966097e-03	5.759763e+01	1.255575e-01	4.784377e+09	
seq	2	100	200	10000	2.067515e+01	9.723871e+01	1.468212e-03	7.848964e+01	3.658771e-01	6.567389e+09	
pth	2	100	200	10000	2.067515e+01	9.723871e+01	1.468212e-03	7.848964e+01	4.601969e-01	5.221367e+09	
omp	2	100	200	10000	2.067515e+01	9.723871e+01	1.468212e-03	7.848964e+01	3.341221e-01	7.191554e+09	
seq	2	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	4.226279e-01	5.685515e+09	
pth	2	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	4.538414e-01	5.294486e+09	
omp	2	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	3.144399e-01	7.641706e+09	
seq	2	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	1.776920e+00	6.761298e+09	
pth	2	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	1.185541e+00	1.013401e+10	
omp	2	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	1.048652e+00	1.145689e+10	
seq	2	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	1.416642e+00	8.480818e+09	
pth	2	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	1.080877e+00	1.111531e+10	
omp	2	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	9.581038e-01	1.253965e+10	
seq	2	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	3.171161e+00	7.577215e+09	
pth	2	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	2.142007e+00	1.121778e+10	
omp	2	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	2.162273e+00	1.111264e+10	
seq	2	2000	100	10000	1.965332e+01	9.838499e+01	1.786453e-03	7.190366e+01	2.980405e+00	8.062184e+09	
pth	2	2000	100	10000	1.965332e+01	9.838499e+01	1.786453e-03	7.190366e+01	1.840869e+00	1.305284e+10	
omp	2	2000	100	10000	1.965332e+01	9.838499e+01	1.786453e-03	7.190366e+01	1.679183e+00	1.430968e+10	
seq	2	1000	1000	10000	1.873976e+01	9.937890e+01	1.917284e-03	8.707111e+01	1.673459e+01	7.179314e+09	
pth	2	1000	1000	10000	1.873976e+01	9.937890e+01	1.917284e-03	8.707111e+01	7.373475e+00	1.629393e+10	
omp	2	1000	1000	10000	1.873976e+01	9.937890e+01	1.917284e-03	8.707111e+01	8.342853e+00	1.440069e+10	
seq	2	2000	2000	10000	1.870801e+01	9.952850e+01	1.988695e-03	8.808791e+01	8.842440e+01	5.434828e+09	
pth	2	2000	2000	10000	1.870801e+01	9.952850e+01	1.988695e-03	8.808791e+01	8.739297e+01	5.498971e+09	
omp	2	2000	2000	10000	1.870801e+01	9.952850e+01	1.988695e-03	8.808791e+01	4.720261e+01	1.018103e+10	
pth	4	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	3.163676e-01	1.898786e+09	
omp	4	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	1.211071e-01	4.960189e+09	
pth	4	100	50	10000	2.250827e+01	8.879608e+01	1.966097e-03	5.759763e+01	3.205758e-01	1.873861e+09	
omp	4	100	50	10000	2.250827e+01	8.879608e+01	1.966097e-03	5.759763e+01	1.095016e-01	5.485896e+09	
pth	4	100	200	10000	2.067515e+01	9.723871e+01	1.468212e-03	7.848964e+01	3.952731e-01	6.078980e+09	
omp	4	100	200	10000	2.067515e+01	9.723871e+01	1.468212e-03	7.848964e+01	2.178257e-01	1.103110e+10	
pth	4	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	3.871215e-01	6.206984e+09	
omp	4	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	1.975895e-01	1.216085e+10	
pth	4	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	8.277952e-01	1.451360e+10	
omp	4	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	7.135213e-01	1.683802e+10	
pth	4	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	7.335316e-01	1.637869e+10	
omp	4	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	6.839436e-01	1.756619e+10	
pth	4	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	1.380226e+00	1.740915e+10	
omp	4	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	1.287702e+00	1.866004e+10	
pth	4	2000	100	10000	1.965332e+01	9.838499e+01	1.786453e-03	7.190366e+01	1.123858e+00	2.138042e+10	
omp	4	2000	100	10000	1.965332e+01	9.838499e+01	1.786453e-03	7.190366e+01	1.178068e+00	2.039659e+10	
pth	4	1000	1000	10000	1.873976e+01	9.937890e+01	1.917284e-03	8.707111e+01	4.116837e+00	2.918329e+10	
omp	4	1000	1000	10000	1.873976e+01	9.937890e+01	1.917284e-03	8.707111e+01	4.846673e+00	2.478873e+10	
pth	4	2000	2000	10000	1.870801e+01	9.952850e+01	1.988695e-03	8.808791e+01	8.672547e+01	5.541295e+09	
omp	4	2000	2000	10000	1.870801e+01	9.952850e+01	1.988695e-03	8.808791e+01	4.276970e+01	1.123626e+10	
pth	8	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	5.571526e-01	1.078186e+09	
omp	8	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	1.404306e-01	4.277659e+09	
pth	8	100	50	10000	2.250827e+01	8.879608e+01	1.966097e-03	5.759763e+01	5.620211e-01	1.068847e+09	
omp	8	100	50	10000	2.250827e+01	8.879608e+01	1.966097e-03	5.759763e+01	1.309244e-01	4.588252e+09	
pth	8	100	200	10000	2.067515e+01	9.723871e+01	1.468212e-03	7.848964e+01	6.295009e-01	3.817083e+09	
omp	8	100	200	10000	2.067515e+01	9.723871e+01	1.468212e-03	7.848964e+01	2.062127e-01	1.165232e+10	
pth	8	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	6.126300e-01	3.922199e+09	
omp	8	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	1.955024e-01	1.229068e+10	
pth	8	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	9.244628e-01	1.299596e+10	
omp	8	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	6.345667e-01	1.893306e+10	
pth	8	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	7.827571e-01	1.534868e+10	
omp	8	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	6.275957e-01	1.914335e+10	
pth	8	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	1.182249e+00	2.032446e+10	
omp	8	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	1.132746e+00	2.121267e+10	
pth	8	2000	100	10000	1.965332e+01	9.838499e+01	1.786453e-03	7.190366e+01	1.024328e+00	2.345788e+10	
omp	8	2000	100	10000	1.965332e+01	9.838499e+01	1.786453e-03	7.190366e+01	1.074508e+00	2.236239e+10	
pth	8	1000	1000	10000	1.873976e+01	9.937890e+01	1.917284e-03	8.707111e+01	2.824340e+00	4.253838e+10	
omp	8	1000	1000	10000	1.873976e+01	9.937890e+01	1.917284e-03	8.707111e+01	4.393296e+00	2.734686e+10	
pth	8	2000	2000	10000	1.870801e+01	9.952850e+01	1.988695e-03	8.808791e+01	8.323238e+01	5.773852e+09	
omp	8	2000	2000	10000	1.870801e+01	9.952850e+01	1.988695e-03	8.808791e+01	3.863558e+01	1.243857e+10	
pth	16	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	1.077614e+00	5.574486e+08	
omp	16	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	2.078352e-01	2.890340e+09	
pth	16	100	50	10000	2.250827e+01	8.879608e+01	1.966097e-03	5.759763e+01	1.068435e+00	5.622378e+08	
omp	16	100	50	10000	2.250827e+01	8.879608e+01	1.966097e-03	5.759763e+01	1.871563e-01	3.209694e+09	
pth	16	100	200	10000	2.067515e+01	9.723871e+01	1.468212e-03	7.848964e+01	1.139723e+00	2.108282e+09	
omp	16	100	200	10000	2.067515e+01	9.723871e+01	1.468212e-03	7.848964e+01	2.570535e-01	9.347693e+09	
pth	16	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	1.131447e+00	2.123703e+09	
omp	16	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	2.492372e-01	9.640845e+09	
pth	16	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	1.382215e+00	8.692053e+09	
omp	16	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	6.573357e-01	1.827725e+10	
pth	16	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	1.280470e+00	9.382719e+09	
omp	16	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	6.480007e-01	1.854054e+10	
pth	16	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	1.706971e+00	1.407673e+10	
omp	16	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	1.117059e+00	2.151056e+10	
pth	16	2000	100	10000	1.965332e+01	9.838499e+01	1.786453e-03	7.190366e+01	1.577722e+00	1.522992e+10	
omp	16	2000	100	10000	1.965332e+01	9.838499e+01	1.786453e-03	7.190366e+01	1.161092e+00	2.069481e+10	
pth	16	1000	1000	10000	1.873976e+01	9.937890e+01	1.917284e-03	8.707111e+01	2.635847e+00	4.558035e+10	
omp	16	1000	1000	10000	1.873976e+01	9.937890e+01	1.917284e-03	8.707111e+01	3.481376e+00	3.451016e+10	
pth	16	2000	2000	10000	1.870801e+01	9.952850e+01	1.988695e-03	8.808791e+01	8.362944e+01	5.746438e+09	
omp	16	2000	2000	10000	1.870801e+01	9.952850e+01	1.988695e-03	8.808791e+01	3.461673e+01	1.388263e+10	
pth	32	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	3.564964e+00	1.685050e+08	
omp	32	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	3.341611e-01	1.797679e+09	
pth	32	100	50	10000	2.250827e+01	8.879608e+01	1.966097e-03	5.759763e+01	3.792415e+00	1.583989e+08	
omp	32	100	50	10000	2.250827e+01	8.879608e+01	1.966097e-03	5.759763e+01	2.706762e-01	2.219309e+09	
pth	32	100	200	10000	2.067515e+01	9.723871e+01	1.468212e-03	7.848964e+01	3.533662e+00	6.799907e+08	
omp	32	100	200	10000	2.067515e+01	9.723871e+01	1.468212e-03	7.848964e+01	3.725555e-01	6.449662e+09	
pth	32	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	3.516473e+00	6.833145e+08	
omp	32	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	3.766695e-01	6.379219e+09	
pth	32	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	3.927535e+00	3.058989e+09	
omp	32	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	7.614035e-01	1.577913e+10	
pth	32	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	3.882436e+00	3.094522e+09	
omp	32	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	7.851287e-01	1.530231e+10	
pth	32	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	4.377675e+00	5.488889e+09	
omp	32	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	1.166969e+00	2.059058e+10	
pth	32	2000	100	10000	1.965332e+01	9.838499e+01	1.786453e-03	7.190366e+01	4.282447e+00	5.610944e+09	
omp	32	2000	100	10000	1.965332e+01	9.838499e+01	1.786453e-03	7.190366e+01	1.313286e+00	1.829652e+10	
pth	32	1000	1000	10000	1.873976e+01	9.937890e+01	1.917284e-03	8.707111e+01	5.576825e+00	2.154324e+10	
omp	32	1000	1000	10000	1.873976e+01	9.937890e+01	1.917284e-03	8.707111e+01	3.871758e+00	3.103057e+10	
pth	32	2000	2000	10000	1.870801e+01	9.952850e+01	1.988695e-03	8.808791e+01	7.865640e+01	6.109756e+09	
omp	32	2000	2000	10000	1.870801e+01	9.952850e+01	1.988695e-03	8.808791e+01	3.145868e+01	1.527628e+10
